sentence,translation,pronunciation,tts_pronunciation,tags,cloze,key_meaning
ゆっくり食べて。,Eat slowly.,ゆっくり食べ【たべ】て。,ゆっくりたべて。,daily-routine,ゆっくり,slowly
よく噛んでね。,Chew well.,よく噛ん【かん】でね。,よくかんでね。,daily-routine,噛む,chew
野菜も食べなさい。,Eat your vegetables.,野菜【やさい】も食べ【たべ】なさい。,やさいもたべなさい。,daily-routine,野菜,vegetables
残さないでね。,Don't leave any.,残さ【のこさ】ないでね。,のこさないでね。,daily-routine,残さない,not leave food
おかわりする?,Do you want seconds?,おかわりする?,おかわりする?,daily-routine,おかわり,seconds/refill
お茶を入れようか?,Shall I make tea?,お茶【ちゃ】を入れよう【いれよう】か?,おちゃを、いれようか?,daily-routine,お茶,tea
コーヒーを淹れて。,Make coffee.,コーヒーを淹れ【いれ】て。,コーヒーを、いれて。,daily-routine,コーヒー,coffee
牛乳を飲んでね。,Drink your milk.,牛乳【ぎゅうにゅう】を飲ん【のん】でね。,ぎゅうにゅうを、のんでね。,daily-routine,牛乳,milk
果物を食べる?,Do you want fruit?,果物【くだもの】を食べる【たべる】?,くだものを、たべる?,daily-routine,果物,fruit
アイスは夕飯の後でね。,Ice cream after dinner.,アイスは夕飯【ゆうはん】の後【あと】でね。,アイスはゆうはんのあとでね。,daily-routine,夕飯,dinner
喉が渇いた。,I'm thirsty.,喉【のど】が渇い【かわい】た。,のどが、かわいた。,daily-routine,喉,thirsty
お腹すいた。,I'm hungry.,お腹【おなか】すいた。,おおなかすいた。,daily-routine,お腹がすく,get hungry
疲れた。,I'm tired.,疲れ【つかれ】た。,つかれた。,daily-routine,疲れる,get tired
眠い。,I'm sleepy.,眠い【ねむい】。,ねむい。,daily-routine,眠い,sleepy
暑いね。,It's hot isn't it.,暑い【あつい】ね。,あついね。,daily-routine,暑い,hot
寒いね。,It's cold isn't it.,寒い【さむい】ね。,さむいね。,daily-routine,寒い,cold
エアコンをつけて。,Turn on the air conditioner.,エアコンをつけて。,エアコンを、つけて。,daily-routine,エアコン,air conditioner
窓を開けて。,Open the window.,窓【まど】を開け【あけ】て。,まどを、あけて。,daily-routine,窓,window
窓を閉めて。,Close the window.,窓【まど】を閉め【しめ】て。,まどを、しめて。,daily-routine,窓,window
カーテンを開けて。,Open the curtains.,カーテンを開け【あけ】て。,カーテンを、あけて。,daily-routine,カーテン,curtain
カーテンを閉めて。,Close the curtains.,カーテンを閉め【しめ】て。,カーテンを、しめて。,daily-routine,カーテン,curtain
ドアを閉めてね。,Close the door.,ドアを閉め【しめ】てね。,ドアを、しめてね。,daily-routine,ドア,door
鍵をかけた?,Did you lock it?,鍵【かぎ】をかけた?,かぎを、かけた?,daily-routine,鍵,key
電話が鳴ってる。,The phone is ringing.,電話【でんわ】が鳴っ【なっ】てる。,でんわが、なってる。,daily-routine,鳴る,ring
誰か来たみたい。,Someone's here.,誰【だれ】か来【き】たみたい。,だれかきたみたい。,daily-routine,誰か来た,someone came
玄関に出てくる。,I'll get the door.,玄関【げんかん】に出【で】てくる。,げんかんにでてくる。,daily-routine,玄関,entrance
ちょっと待ってて。,Wait a moment.,ちょっと待っ【まっ】てて。,ちょっとまってて。,daily-routine,待つ,wait
すぐ戻るから。,I'll be right back.,すぐ戻る【もどる】から。,すぐもどるから。,daily-routine,戻る,return
何してるの?,What are you doing?,何【なに】してるの?,なにしてるの?,daily-routine,何,what
どこに行くの?,Where are you going?,どこに行く【いく】の?,どこにいくの?,daily-routine,行く,go
いつ帰ってくる?,When will you be back?,いつ帰っ【かえっ】てくる?,いつかえってくる?,daily-routine,帰る,return home
ご飯の支度ができたよ。,Dinner is ready.,ご飯【ごはん】の支度【したく】ができたよ。,ごはんのしたくが、できたよ。,daily-routine,支度,preparation
食べ終わったら片付けて。,Clean up when you're done eating.,食べ【たべ】終わっ【おわっ】たら片付け【かたづけ】て。,たべおわったらかたづけて。,daily-routine,片付ける,clean up
お皿を下げて。,Clear the dishes.,お皿【さら】を下げ【さげ】て。,おさらを、さげて。,daily-routine,お皿を下げる,clear dishes
テーブルを拭いて。,Wipe the table.,テーブルを拭い【ふい】て。,テーブルを、ふいて。,daily-routine,テーブル,table
食器を洗ってくれる?,Can you wash the dishes?,食器【しょっき】を洗っ【あらっ】てくれる?,しょっきを、あらってくれる?,daily-routine,食器を洗う,wash dishes
お風呂が沸いたよ。,The bath is ready.,お風呂【ふろ】が沸い【わい】たよ。,おふろが、わいたよ。,daily-routine,お風呂,bath
お風呂のお湯を足して。,Add more water to the bath.,お風呂【ふろ】のお湯【ゆ】を足し【たし】て。,おふろのおゆを、たして。,daily-routine,湯,hot water
シャンプーが切れそう。,We're almost out of shampoo.,シャンプーが切れ【きれ】そう。,シャンプーが、きれそう。,daily-routine,シャンプー,shampoo
タオルを持ってきて。,Bring a towel.,タオルを持っ【もっ】てきて。,タオルを、もってきて。,daily-routine,タオル,towel
髪を乾かして。,Dry your hair.,髪【かみ】を乾かし【かわかし】て。,かみを、かわかして。,daily-routine,髪,hair
パジャマに着替えて。,Change into pajamas.,パジャマに着替え【きがえ】て。,パジャマにきがえて。,daily-routine,パジャマ,pajamas
布団を敷いて。,Lay out the futon.,布団【ふとん】を敷い【しい】て。,ふとんを、しいて。,daily-routine,布団,futon
枕が高い。,The pillow is too high.,枕【まくら】が高い【たかい】。,まくらが、たかい。,daily-routine,枕,pillow
毛布をかけて。,Put on a blanket.,毛布【もうふ】をかけて。,もうふを、かけて。,daily-routine,毛布,blanket
目覚まし時計をセットして。,Set the alarm clock.,目覚まし【めざまし】時計【とけい】をセットして。,めざましとけいを、セットして。,daily-routine,目覚まし時計,alarm clock
何時に起きる?,What time will you wake up?,何【なん】時【じ】に起きる【おきる】?,なんじにおきる?,daily-routine,何時,what time
今日という日に感謝。,Grateful for today.,今日【きょう】という日【ひ】に感謝【かんしゃ】。,きょうというひにかんしゃ。,daily-routine,今日という日,this day
家族がいて幸せ。,I'm happy to have family.,家族【かぞく】がいて幸せ【しあわせ】。,かぞくが、いてしあわせ。,daily-routine,家族,family
毎日を大切に生きよう。,Let's cherish each day.,毎日【まいにち】を大切【たいせつ】に生きよう【いきよう】。,まいにちを、たいせつにいきよう。,daily-routine,毎日,every day
病院の予約を取りました。,I made a doctor's appointment.,病院【びょういん】の予約【よやく】を取り【とり】ました。,びょういんのよやくを、とりました。,medical,病院,hospital
保険証を持っていますか?,Do you have your insurance card?,保険【ほけん】証【しょう】を持っ【もっ】ていますか?,ほけんしょうを、もっていますか?,medical,保険証,insurance card
症状を教えてください。,Please tell me your symptoms.,症状【しょうじょう】を教え【おしえ】てください。,しょうじょうを、おしえてください。,medical,症状,symptoms
いつから具合が悪いですか?,Since when have you felt unwell?,いつから具合【ぐあい】が悪い【わるい】ですか?,いつからぐあいが、わるいですか?,medical,具合,condition
処方箋をもらいました。,I received a prescription.,処方【しょほう】箋【せん】をもらいました。,しょほうせんを、もらいました。,medical,処方箋,prescription
薬局に行ってくる。,I'll go to the pharmacy.,薬局【やっきょく】に行っ【いっ】てくる。,やっきょくにいってくる。,medical,薬局,pharmacy
この薬は食後に飲んでください。,Please take this medicine after meals.,この薬【くすり】は食後【しょくご】に飲ん【のん】でください。,このくすりはしょくごにのんでください。,medical,薬,medicine
副作用はありますか?,Are there any side effects?,副【ふく】作用【さよう】はありますか?,ふくさようはありますか?,medical,副作用,side effects
アレルギーの薬を飲んでいます。,I'm taking allergy medicine.,アレルギーの薬【くすり】を飲ん【のん】でいます。,アレルギーのくすりを、のんでいます。,medical,アレルギーの薬,allergy medicine
検査を受けなきゃ。,I need to get tested.,検査【けんさ】を受け【うけ】なきゃ。,けんさを、うけなきゃ。,medical,検査,test/exam
健康診断の結果が来た。,The health checkup results arrived.,健康【けんこう】診断【しんだん】の結果【けっか】が来【き】た。,けんこうしんだんのけっかが、きた。,medical,健康診断,health checkup
熱が下がらない。,The fever won't go down.,熱【ねつ】が下がら【さがら】ない。,ねつが、さがらない。,medical,熱,fever
咳が止まらない。,I can't stop coughing.,咳【せき】が止まら【とまら】ない。,せきが、とまらない。,medical,咳,cough
鼻水が出る。,I have a runny nose.,鼻水【はなみず】が出る【でる】。,はなみずが、でる。,medical,鼻水,runny nose
喉が痛い。,My throat hurts.,喉【のど】が痛い【いたい】。,のどが、いたい。,medical,喉,throat
頭痛がひどい。,I have a terrible headache.,頭痛【ずつう】がひどい。,ずつうが、ひどい。,medical,頭痛,headache
めまいがする。,I feel dizzy.,めまいがする。,めまいがする。,medical,めまい,dizziness
診察券をお持ちですか?,Do you have your patient card?,診察【しんさつ】券【けん】をお持ち【もち】ですか?,しんさつけんを、おもちですか?,medical,診察券,patient card
初診ですか?,Is this your first visit?,初診【しょしん】ですか?,しょしんですか?,medical,初診,first visit
問診票に記入してください。,Please fill out the questionnaire.,問診【もんしん】票【ひょう】に記入【きにゅう】してください。,もんしんひょうにきにゅうしてください。,medical,問診票,questionnaire
待合室でお待ちください。,Please wait in the waiting room.,待合【まちあい】室【しつ】でお待ち【まち】ください。,まちあいしつでおまちください。,medical,問診票,questionnaire
お名前が呼ばれましたら。,When your name is called.,お名前【なまえ】が呼ば【よば】れましたら。,おなまえが、よばれましたら。,medical,名前,name
血圧を測りますね。,I'll take your blood pressure.,血圧【けつあつ】を測り【はかり】ますね。,けつあつを、はかりますね。,medical,名前,name
体温を測ってください。,Please take your temperature.,体温【たいおん】を測っ【はかっ】てください。,たいおんを、はかってください。,medical,体温,body temperature
深呼吸してください。,Please take a deep breath.,深【しん】呼吸【こきゅう】してください。,しんこきゅうしてください。,medical,深呼吸,deep breath
お腹を見せてください。,Please show me your stomach.,お腹【おなか】を見せ【みせ】てください。,おおなかを、みせてください。,medical,お腹,stomach
どこが痛いですか?,Where does it hurt?,どこが痛い【いたい】ですか?,どこがいたいですか?,medical,痛い,hurt/painful
いつからですか?,Since when?,いつからですか?,いつからですか?,medical,いつからですか,when
熱はありますか?,Do you have a fever?,熱【ねつ】はありますか?,ねつはありますか?,medical,熱,fever
食欲はありますか?,Do you have an appetite?,食欲【しょくよく】はありますか?,しょくよくはありますか?,medical,食欲,appetite
眠れていますか?,Are you sleeping well?,眠れ【ねむれ】ていますか?,ねむれていますか?,medical,眠れる,able to sleep
お薬は何か飲んでいますか?,Are you taking any medication?,お薬【くすり】は何【なん】か飲ん【のん】でいますか?,おくすりはなんかのんでいますか?,medical,お薬,medicine
アレルギーはありますか?,Do you have any allergies?,アレルギーはありますか?,アレルギーはありますか?,medical,アレルギー,allergy
妊娠の可能性はありますか?,Is there a possibility of pregnancy?,妊娠【にんしん】の可能【かのう】性【せい】はありますか?,にんしんのかのうせいはありますか?,medical,妊娠,pregnancy
授乳中ですか?,Are you breastfeeding?,授乳【じゅにゅう】中【ちゅう】ですか?,じゅにゅうちゅうですか?,medical,授乳中,breastfeeding
検査結果が出ました。,The test results are in.,検査【けんさ】結果【けっか】が出【で】ました。,けんさけっかが、でました。,medical,検査結果,test results
特に問題ありません。,There are no problems.,特に【とくに】問題【もんだい】ありません。,とくに、もんだいありません。,medical,問題,problem
精密検査が必要です。,You need a detailed examination.,精密【せいみつ】検査【けんさ】が必要【ひつよう】です。,せいみつけんさが、ひつようです。,medical,精密検査,detailed exam
紹介状を書きます。,I'll write a referral letter.,紹介【しょうかい】状【じょう】を書き【かき】ます。,しょうかいじょうを、かきます。,medical,紹介状,referral letter
大きい病院に行ってください。,Please go to a larger hospital.,大きい【おおきい】病院【びょういん】に行っ【いっ】てください。,おおきいびょういんにいってください。,medical,病院,hospital
お薬を出しておきます。,I'll prescribe some medicine.,お薬【くすり】を出し【だし】ておきます。,おくすりを、だしておきます。,medical,薬,medicine
1日3回食後に飲んでください。,Take it three times a day after meals.,1日【ついたち】3回【かい】食後【しょくご】に飲ん【のん】でください。,1ついたち3かいしょくごにのんでください。,medical,1日3回,three times a day
眠くなることがあります。,It may make you drowsy.,眠く【ねむく】なることがあります。,ねむくなることがあります。,medical,眠くなる,get drowsy
お酒は控えてください。,Please avoid alcohol.,お酒【さけ】は控え【ひかえ】てください。,おさけはひかえてください。,medical,お酒,alcohol
安静にしてください。,Please rest.,安静【あんせい】にしてください。,あんせいにしてください。,medical,お酒,alcohol
お風呂は控えてください。,Please avoid bathing.,お風呂【ふろ】は控え【ひかえ】てください。,おふろはひかえてください。,medical,風呂,bath
様子を見てください。,Please monitor your condition.,様子【ようす】を見【み】てください。,ようすを、みてください。,medical,様子,condition
良くならなかったら来てください。,Come back if it doesn't improve.,良く【よく】ならなかったら来【き】てください。,よくならなかったらきてください。,medical,良くなる,get better
お大事にしてください。,Please take care.,お大事【だいじ】にしてください。,おだいじにしてください。,medical,お大事に,take care
次回の予約を取りますか?,Shall we schedule your next appointment?,次回【じかい】の予約【よやく】を取り【とり】ますか?,じかいのよやくを、とりますか?,medical,次回,next time
保険は効きますか?,Is this covered by insurance?,保険【ほけん】は効き【きき】ますか?,ほけんはききますか?,medical,保険,insurance
自費になります。,This will be out of pocket.,自費【じひ】になります。,じひになります。,medical,自費,out of pocket
診断書が必要です。,I need a medical certificate.,診断【しんだん】書【しょ】が必要【ひつよう】です。,しんだんしょが、ひつようです。,medical,診断書,medical certificate
インフルエンザの予防接種をしたい。,I'd like to get a flu shot.,インフルエンザの予防【よぼう】接種【せっしゅ】をしたい。,インフルエンザのよぼうせっしゅを、したい。,medical,予防接種,vaccination
健康診断を受けたい。,I'd like to have a health checkup.,健康【けんこう】診断【しんだん】を受け【うけ】たい。,けんこうしんだんを、うけたい。,medical,健康診断,health
人間ドックの予約を取りたい。,I'd like to schedule a complete checkup.,人間【にんげん】ドックの予約【よやく】を取り【とり】たい。,にんげんドックのよやくを、とりたい。,medical,人間ドック,comprehensive checkup
おうちでゆっくり休んでね。,Rest well at home.,おうちでゆっくり休ん【やすん】でね。,おうちでゆっくりやすんでね。,medical,休む,rest
無理しないでね。,Don't overdo it.,無理【むり】しないでね。,むりしないでね。,medical,休む,rest
早く良くなってね。,Get well soon.,早く【はやく】良く【よく】なってね。,はやくよくなってね。,medical,良くなる,get better
心配しないで大丈夫だよ。,Don't worry it'll be fine.,心配【しんぱい】しないで大丈夫【だいじょうぶ】だよ。,しんぱいしないでだいじょうぶだよ。,medical,心配,worry
何かあったらすぐ電話して。,Call right away if something happens.,何【なん】かあったらすぐ電話【でんわ】して。,なんかあったらすぐでんわして。,medical,心配,worry
具合どう?,How are you feeling?,具合【ぐあい】どう?,ぐあいどう?,medical,具合,condition
少し良くなった?,Do you feel a little better?,少し【すこし】良く【よく】なった?,すこしよくなった?,medical,少し,a little
まだ熱がある?,Do you still have a fever?,まだ熱【ねつ】がある?,まだねつが、ある?,medical,熱,fever
ご飯食べられそう?,Do you think you can eat?,ご飯【ごはん】食べ【たべ】られそう?,ごはんたべられそう?,medical,ご飯,meal
何か食べたいものある?,Is there anything you want to eat?,何【なん】か食べ【たべ】たいものある?,なんかたべたいものある?,medical,何か,something
おかゆを作ろうか?,Shall I make rice porridge?,おかゆを作ろう【つくろう】か?,おかゆを、つくろうか?,medical,おかゆ,porridge
氷枕を持ってくるね。,I'll bring an ice pillow.,氷枕【こおりまくら】を持っ【もっ】てくるね。,こおりまくらを、もってくるね。,medical,氷枕,ice pillow
熱冷ましシートを貼ろう。,Let's put on a cooling sheet.,熱冷まし【ねつさまし】シートを貼ろう【はろう】。,ねつさましシートを、はろう。,medical,熱冷ましシート,cooling sheet
水分を取ってね。,Stay hydrated.,水分【すいぶん】を取っ【とっ】てね。,すいぶんを、とってね。,medical,水分,fluids
スポーツドリンクを飲んで。,Drink sports drinks.,スポーツドリンクを飲ん【のん】で。,スポーツドリンクを、のんで。,medical,水分,fluids
トイレに行きたい時は呼んでね。,Call me when you need to go to the bathroom.,トイレに行き【いき】たい時【とき】は呼ん【よん】でね。,トイレにいきたいときはよんでね。,medical,トイレ,bathroom
寒かったら言ってね。,Tell me if you're cold.,寒かっ【さむかっ】たら言っ【いっ】てね。,さむかったらいってね。,medical,寒い,cold
汗をかいたら着替えようね。,Let's change if you sweat.,汗【あせ】をかいたら着替えよう【きがえよう】ね。,あせを、かいたらきがえようね。,medical,汗,sweat
掃除機をかけてもいいですか?,May I vacuum now?,掃除【そうじ】機【き】をかけてもいいですか?,そうじきを、かけてもいいですか?,cleaning,掃除機,vacuum
床を拭かなきゃ。,I need to mop the floor.,床【ゆか】を拭か【ふか】なきゃ。,ゆかを、ふかなきゃ。,cleaning,床,floor
ほこりがたまっている。,Dust has accumulated.,ほこりがたまっている。,ほこりがたまっている。,cleaning,ほこり,dust
