Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,Audio
ごちそうさまでした。,Thank you for the meal.,ごちそうさま,ごちそうさまでした。,Restaurant,polite,thanks for meal,"<span class=""vocab"">ごちそうさま</span>",
今夜は外食しよう。,Let's eat out tonight.,外食,今夜【こんや】は外食【がいしょく】しよう。,Restaurant,polite,eating out,"<ruby class=""vocab"">外食<rt><span class=""pitch-l"">が</span><span class=""pitch-h"">い</span><span class=""pitch-h"">しょ</span><span class=""pitch-h"">く</span></rt></ruby>",
何が食べたい気分?,What are you in the mood for?,気分,何【なに】が食【た】べたい気分【きぶん】?,Restaurant,polite,mood,"<ruby class=""vocab"">気分<rt><span class=""pitch-h"">き</span><span class=""pitch-l"">ぶ</span><span class=""pitch-l"">ん</span></rt></ruby>",
和食と洋食どっちがいい?,Japanese or Western food?,和食と洋食,和食【わしょく】と洋食【ようしょく】どっちがいい?,Restaurant,polite,Japanese and Western,"<ruby class=""vocab"">和食と洋食<rt>わしょくとようしょく</rt></ruby>",
新しいお店を試してみよう。,Let's try a new place.,お店,新【あたら】しいお店【みせ】を試【ため】してみよう。,Restaurant,polite,restaurant,"<ruby class=""vocab"">お店<rt>みせ</rt></ruby>",
口コミで評判がいいお店。,A restaurant with good reviews.,評判,口コミ【くちこみ】で評判【ひょうばん】がいいお店【みせ】。,Restaurant,polite,reputation,"<ruby class=""vocab"">評判<rt><span class=""pitch-l"">ひょ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">ば</span><span class=""pitch-h"">ん</span></rt></ruby>",
駐車場があるお店がいいな。,I'd like a place with parking.,駐車場,駐車【ちゅうしゃ】場【じょう】があるお店【みせ】がいいな。,Restaurant,polite,parking,"<ruby class=""vocab"">駐車場<rt>ちゅうしゃじょう</rt></ruby>",
子連れでも大丈夫ですか?,Is it okay to bring children?,子連れ,子連【こづ】れでも大丈夫【だいじょうぶ】ですか?,Restaurant,polite,with children,"<ruby class=""vocab"">子連れ<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">づ</span><span class=""pitch-h"">れ</span></rt></ruby>",
個室はありますか?,Do you have private rooms?,個室,個室【こしつ】はありますか?,Restaurant,polite,private room,"<ruby class=""vocab"">個室<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">し</span><span class=""pitch-h"">つ</span></rt></ruby>",
座敷席をお願いします。,Tatami seating please.,座敷席,座敷【ざしき】席【せき】をお願【ねが】いします。,Restaurant,polite,tatami seating,"<ruby class=""vocab"">座敷席<rt>ざしきせき</rt></ruby>",
テーブル席でお願いします。,Table seating please.,テーブル席,テーブル席【せき】でお願【ねが】いします。,Restaurant,polite,table seating,"<ruby class=""vocab"">テーブル席<rt>せき</rt></ruby>",
ベビーカーでも入れますか?,Can I bring a stroller?,ベビーカー,ベビーカーでも入【い】れますか?,Restaurant,polite,stroller,"<span class=""vocab"">ベビーカー</span>",
お子様メニューはありますか?,Do you have a kids menu?,お子様メニュー,お子【こ】様【さま】メニューはありますか?,Restaurant,polite,kids menu,"<ruby class=""vocab"">お子様メニュー<rt>おこさまメニュー</rt></ruby>",
ご飯大盛りでお願いします。,A large serving of rice please.,大盛り,ご飯【ごはん】大盛【おおも】りでお願【ねが】いします。,Restaurant,polite,large serving,"<ruby class=""vocab"">大盛り<rt><span class=""pitch-l"">お</span><span class=""pitch-h"">お</span><span class=""pitch-h"">も</span><span class=""pitch-h"">り</span></rt></ruby>",
辛くしないでください。,Please don't make it spicy.,辛い,辛【から】くしないでください。,Restaurant,polite,spicy,"<ruby class=""vocab"">辛い<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">ら</span><span class=""pitch-h"">い</span></rt></ruby>",
ネギ抜きでお願いします。,Without green onions please.,ネギ,ネギ抜【ぬ】きでお願【ねが】いします。,Restaurant,polite,green onion,"<ruby class=""vocab"">ネギ<rt><span class=""pitch-h"">ね</span><span class=""pitch-l"">ぎ</span></rt></ruby>",
卵アレルギーがあります。,I have an egg allergy.,卵アレルギー,卵【たまご】アレルギーがあります。,Restaurant,polite,egg allergy,"<ruby class=""vocab"">卵アレルギー<rt>たまごアレルギー</rt></ruby>",
卵を使っていますか?,Does this contain eggs?,卵,卵【たまご】を使【つか】っていますか?,Restaurant,polite,egg,"<ruby class=""vocab"">卵<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">ま</span><span class=""pitch-h"">ご</span></rt></ruby>",
おすすめは何ですか?,What do you recommend?,おすすめ,おすすめは何【なん】ですか?,Restaurant,polite,recommendation,"<span class=""vocab"">おすすめ</span>",
本日のランチは何ですか?,What's today's lunch special?,本日のランチ,本日【ほんじつ】のランチは何【なん】ですか?,Restaurant,polite,today's lunch,"<ruby class=""vocab"">本日のランチ<rt>ほんじつのランチ</rt></ruby>",
セットにできますか?,Can I make it a set?,セット,セットにできますか?,Restaurant,polite,set,"<ruby class=""vocab"">セット<rt><span class=""pitch-h"">せ</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">と</span></rt></ruby>",
ドリンクバーはありますか?,Do you have a drink bar?,ドリンクバー,ドリンクバーはありますか?,Restaurant,polite,drink bar,"<span class=""vocab"">ドリンクバー</span>",
食べ放題はいくらですか?,How much is all-you-can-eat?,食べ放題,食【た】べ放題【ほうだい】はいくらですか?,Restaurant,polite,all-you-can-eat,"<ruby class=""vocab"">食べ放題<rt>たべほうだい</rt></ruby>",
飲み放題をつけますか?,Would you like all-you-can-drink?,飲み放題,飲【の】み放題【ほうだい】をつけますか?,Restaurant,polite,all-you-can-drink,"<ruby class=""vocab"">飲み放題<rt>のみほうだい</rt></ruby>",
まだ注文していいですか?,Can I still order?,まだ,まだ注文【ちゅうもん】していいですか?,Restaurant,polite,still,"<span class=""vocab""><span class=""pitch-h"">ま</span><span class=""pitch-l"">だ</span></span>",
追加注文をお願いします。,I'd like to order more.,追加注文,追加【ついか】注文【ちゅうもん】をお願【ねが】いします。,Restaurant,polite,extra order,"<ruby class=""vocab"">追加注文<rt>ついかちゅうもん</rt></ruby>",
もう少し待ってください。,Please wait a little longer.,もう少し,もう少【すこ】し待【ま】ってください。,Restaurant,polite,a little more,"<ruby class=""vocab"">もう少し<rt>もうすこし</rt></ruby>",
すみません注文いいですか?,Excuse me may I order?,注文,すみません注文【ちゅうもん】いいですか?,Restaurant,polite,order,"<ruby class=""vocab"">注文<rt><span class=""pitch-l"">ちゅ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">も</span><span class=""pitch-h"">ん</span></rt></ruby>",
お水のおかわりをください。,More water please.,お水,お水【みず】のおかわりをください。,Restaurant,polite,water,"<ruby class=""vocab"">お水<rt>みず</rt></ruby>",
取り皿をいただけますか?,Could I have a small plate?,取り皿,取【と】り皿【ざら】をいただけますか?,Restaurant,polite,small plate,"<ruby class=""vocab"">取り皿<rt><span class=""pitch-l"">と</span><span class=""pitch-h"">り</span><span class=""pitch-l"">ざ</span><span class=""pitch-l"">ら</span></rt></ruby>",
ナプキンをもらえますか?,Could I have a napkin?,ナプキン,ナプキンをもらえますか?,Restaurant,polite,napkin,"<ruby class=""vocab"">ナプキン<rt><span class=""pitch-h"">な</span><span class=""pitch-l"">ぷ</span><span class=""pitch-l"">き</span><span class=""pitch-l"">ん</span></rt></ruby>",
おしぼりをください。,Wet towel please.,おしぼり,おしぼりをください。,Restaurant,polite,wet towel,"<span class=""vocab"">おしぼり</span>",
お冷やをください。,Cold water please.,お冷や,お冷【ひ】やをください。,Restaurant,polite,cold water,"<ruby class=""vocab"">お冷や<rt>おひや</rt></ruby>",
熱いお茶をください。,Hot tea please.,お茶,熱【あつ】いお茶【ちゃ】をください。,Restaurant,polite,tea,"<ruby class=""vocab"">お茶<rt>ちゃ</rt></ruby>",
これ私の一番好きな料理。,This is my favorite dish.,一番,これ私【わたし】の一番【いちばん】好【す】きな料理【りょうり】。,Restaurant,polite,favorite,"<ruby class=""vocab"">一番<rt><span class=""pitch-l"">い</span><span class=""pitch-h"">ち</span><span class=""pitch-h"">ば</span><span class=""pitch-h"">ん</span></rt></ruby>",
何にする?一緒のにしようか。,What are you having? Should we get the same thing?,一緒,何【なに】にする?一緒【いっしょ】のにしようか。,Restaurant,polite,together,"<ruby class=""vocab"">一緒<rt><span class=""pitch-l"">い</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">しょ</span></rt></ruby>",
今日は私がご馳走します。,It's my treat today.,ご馳走,今日【きょう】は私【わたくし】がご馳走【ちそう】します。,Restaurant,polite,treat,"<ruby class=""vocab"">ご馳走<rt>ちそう</rt></ruby>",
ご馳走になります。,Thank you for the meal.,ご馳走,ご馳走【ちそう】になります。,Restaurant,polite,treat,"<ruby class=""vocab"">ご馳走<rt>ちそう</rt></ruby>",
とても美味しかったです。,It was very delicious.,美味しい,とても美味【おい】しかったです。,Restaurant,polite,delicious,"<ruby class=""vocab"">美味しい<rt><span class=""pitch-l"">お</span><span class=""pitch-h"">い</span><span class=""pitch-h"">し</span><span class=""pitch-h"">い</span></rt></ruby>",
また来たいです。,I'd like to come again.,美味しい,また来【き】たいです。,Restaurant,polite,delicious,"<ruby class=""vocab"">美味しい<rt><span class=""pitch-l"">お</span><span class=""pitch-h"">い</span><span class=""pitch-h"">し</span><span class=""pitch-h"">い</span></rt></ruby>",
雰囲気がいいお店ですね。,This place has nice atmosphere.,雰囲気,雰囲気【ふんいき】がいいお店【みせ】ですね。,Restaurant,polite,atmosphere,"<ruby class=""vocab"">雰囲気<rt><span class=""pitch-l"">ふ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">い</span><span class=""pitch-l"">き</span></rt></ruby>",
サービスが良かった。,The service was good.,サービス,サービスが良【よ】かった。,Restaurant,polite,service,"<ruby class=""vocab"">サービス<rt><span class=""pitch-h"">さ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">び</span><span class=""pitch-l"">す</span></rt></ruby>",
デザートは別腹だよね。,There's always room for dessert.,別腹,デザートは別腹【べつばら】だよね。,Restaurant,polite,dessert stomach,"<ruby class=""vocab"">別腹<rt><span class=""pitch-l"">べ</span><span class=""pitch-h"">つ</span><span class=""pitch-h"">ば</span><span class=""pitch-h"">ら</span></rt></ruby>",
コーヒーで締めよう。,Let's finish with coffee.,締める,コーヒーで締【し】めよう。,Restaurant,polite,finish/wrap up,"<ruby class=""vocab"">締める<rt><span class=""pitch-l"">し</span><span class=""pitch-h"">め</span><span class=""pitch-l"">る</span></rt></ruby>",
長居してしまった。,We stayed too long.,長居,長居【ながい】してしまった。,Restaurant,polite,staying long,"<ruby class=""vocab"">長居<rt><span class=""pitch-l"">な</span><span class=""pitch-h"">が</span><span class=""pitch-h"">い</span></rt></ruby>",
そろそろ帰ろうか。,Shall we head home?,帰る,そろそろ帰【かえ】ろうか。,Restaurant,polite,go home,"<ruby class=""vocab"">帰る<rt><span class=""pitch-h"">か</span><span class=""pitch-l"">え</span><span class=""pitch-l"">る</span></rt></ruby>",
お腹いっぱいになった。,I'm full.,お腹いっぱい,お腹【おなか】いっぱいになった。,Restaurant,polite,full,"<ruby class=""vocab"">お腹いっぱい<rt>おおなかいっぱい</rt></ruby>",
食べ過ぎちゃった。,I ate too much.,食べ過ぎる,食【た】べ過【す】ぎちゃった。,Restaurant,polite,eat too much,"<ruby class=""vocab"">食べ過ぎる<rt>たべすぎる</rt></ruby>",
美味しかったね。,It was delicious wasn't it.,美味しい,美味【おい】しかったね。,Restaurant,polite,delicious,"<ruby class=""vocab"">美味しい<rt><span class=""pitch-l"">お</span><span class=""pitch-h"">い</span><span class=""pitch-h"">し</span><span class=""pitch-h"">い</span></rt></ruby>",
今度は別のお店に行こう。,Let's go to a different place next time.,今度,今度【こんど】は別【べつ】のお店【みせ】に行【い】こう。,Restaurant,polite,next time,"<ruby class=""vocab"">今度<rt><span class=""pitch-h"">こ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">ど</span></rt></ruby>",
起きる時間だよ。,It's time to wake up.,起きる,起【お】きる時間【じかん】だよ。,Daily-Routine,polite,wake up,"<ruby class=""vocab"">起きる<rt><span class=""pitch-l"">お</span><span class=""pitch-h"">き</span><span class=""pitch-l"">る</span></rt></ruby>",
朝ごはんを食べなさい。,Eat your breakfast.,朝ごはん,朝【あさ】ごはんを食【た】べなさい。,Daily-Routine,polite,breakfast,"<ruby class=""vocab"">朝ごはん<rt><span class=""pitch-l"">あ</span><span class=""pitch-h"">さ</span><span class=""pitch-h"">ご</span><span class=""pitch-l"">は</span><span class=""pitch-l"">ん</span></rt></ruby>",
歯を磨いた?,Did you brush your teeth?,歯を磨く,歯【は】を磨【みが】いた?,Daily-Routine,polite,brush teeth,"<ruby class=""vocab"">歯を磨く<rt>はをみがく</rt></ruby>",
顔を洗ってきて。,Go wash your face.,顔を洗う,顔【かお】を洗【あら】ってきて。,Daily-Routine,polite,wash face,"<ruby class=""vocab"">顔を洗う<rt>かおをあらう</rt></ruby>",
着替えなさい。,Get changed.,着替える,着替【きが】えなさい。,Daily-Routine,polite,change clothes,"<ruby class=""vocab"">着替える<rt><span class=""pitch-l"">き</span><span class=""pitch-h"">が</span><span class=""pitch-h"">え</span><span class=""pitch-l"">る</span></rt></ruby>",
忘れ物ない?,Do you have everything?,忘れ物,忘【わす】れ物【もの】ない?,Daily-Routine,polite,forgotten item,"<ruby class=""vocab"">忘れ物<rt><span class=""pitch-l"">わ</span><span class=""pitch-h"">す</span><span class=""pitch-h"">れ</span><span class=""pitch-h"">も</span><span class=""pitch-h"">の</span></rt></ruby>",
いってらっしゃい。,Have a good day.,いってらっしゃい,いってらっしゃい。,Daily-Routine,polite,have a good day,"<span class=""vocab"">いってらっしゃい</span>",
おかえりなさい。,Welcome home.,おかえりなさい,おかえりなさい。,Daily-Routine,polite,welcome back,"<span class=""vocab"">おかえりなさい</span>",
手を洗ってね。,Wash your hands.,手,手【て】を洗【あら】ってね。,Daily-Routine,polite,hand-wash,"<ruby class=""vocab"">手<rt><span class=""pitch-h"">て</span></rt></ruby>",
うがいをしてね。,Gargle please.,うがい,うがいをしてね。,Daily-Routine,polite,gargle,"<span class=""vocab""><span class=""pitch-l"">う</span><span class=""pitch-h"">が</span><span class=""pitch-h"">い</span></span>",
宿題やった?,Did you do your homework?,宿題,宿題【しゅくだい】やった?,Daily-Routine,polite,homework,"<ruby class=""vocab"">宿題<rt><span class=""pitch-l"">しゅ</span><span class=""pitch-h"">く</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">い</span></rt></ruby>",
おやつを食べていいよ。,You can have a snack.,おやつ,おやつを食【た】べていいよ。,Daily-Routine,polite,snack,"<span class=""vocab"">おやつ</span>",
テレビは宿題の後でね。,TV after homework.,後,テレビは宿題【しゅくだい】の後【あと】でね。,Daily-Routine,polite,after,"<ruby class=""vocab"">後<rt><span class=""pitch-h"">あ</span><span class=""pitch-l"">と</span></rt></ruby>",
お風呂に入りなさい。,Take a bath.,風呂,お風呂【ふろ】に入【はい】りなさい。,Daily-Routine,polite,bath,"<ruby class=""vocab"">風呂<rt><span class=""pitch-l"">ふ</span><span class=""pitch-h"">ろ</span></rt></ruby>",
もう寝る時間だよ。,It's bedtime.,寝る時間,もう寝【ね】る時間【じかん】だよ。,Daily-Routine,polite,bedtime,"<ruby class=""vocab"">寝る時間<rt>ねるじかん</rt></ruby>",
おやすみなさい。,Good night.,おやすみなさい,おやすみなさい。,Daily-Routine,polite,good night,"<span class=""vocab"">おやすみなさい</span>",
電気を消して。,Turn off the light.,電気,電気【でんき】を消【け】して。,Daily-Routine,polite,electricity,"<ruby class=""vocab"">電気<rt><span class=""pitch-h"">で</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">き</span></rt></ruby>",
早く起きなさい。,Wake up early.,早く起きる,早【はや】く起【お】きなさい。,Daily-Routine,polite,wake up early,"<ruby class=""vocab"">早く起きる<rt>はやくおきる</rt></ruby>",
遅刻するよ。,You'll be late.,遅刻,遅刻【ちこく】するよ。,Daily-Routine,polite,being late,"<ruby class=""vocab"">遅刻<rt><span class=""pitch-l"">ち</span><span class=""pitch-h"">こ</span><span class=""pitch-h"">く</span></rt></ruby>",
急いで!,Hurry up!,急いで,急【いそ】いで!,Daily-Routine,polite,hurry,"<ruby class=""vocab"">急いで<rt>いそいで</rt></ruby>",
ゆっくり食べて。,Eat slowly.,ゆっくり,ゆっくり食【た】べて。,Daily-Routine,polite,slowly,"<span class=""vocab""><span class=""pitch-l"">ゆ</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">く</span><span class=""pitch-l"">り</span></span>",
よく噛んでね。,Chew well.,噛む,よく噛【か】んでね。,Daily-Routine,polite,chew,"<ruby class=""vocab"">噛む<rt><span class=""pitch-h"">か</span><span class=""pitch-l"">む</span></rt></ruby>",
野菜も食べなさい。,Eat your vegetables.,野菜,野菜【やさい】も食【た】べなさい。,Daily-Routine,polite,vegetables,"<ruby class=""vocab"">野菜<rt><span class=""pitch-l"">や</span><span class=""pitch-h"">さ</span><span class=""pitch-h"">い</span></rt></ruby>",
残さないでね。,Don't leave any.,残さない,残【のこ】さないでね。,Daily-Routine,polite,not leave food,"<ruby class=""vocab"">残さない<rt>のこさない</rt></ruby>",
おかわりする?,Do you want seconds?,おかわり,おかわりする?,Daily-Routine,polite,seconds/refill,"<span class=""vocab"">おかわり</span>",
お茶を入れようか?,Shall I make tea?,お茶,お茶【ちゃ】を入【い】れようか?,Daily-Routine,polite,tea,"<ruby class=""vocab"">お茶<rt>ちゃ</rt></ruby>",
コーヒーを淹れて。,Make coffee.,コーヒー,コーヒーを淹【い】れて。,Daily-Routine,polite,coffee,"<ruby class=""vocab"">コーヒー<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">ー</span><span class=""pitch-h"">ひ</span><span class=""pitch-l"">ー</span></rt></ruby>",
牛乳を飲んでね。,Drink your milk.,牛乳,牛乳【ぎゅうにゅう】を飲【の】んでね。,Daily-Routine,polite,milk,"<ruby class=""vocab"">牛乳<rt><span class=""pitch-l"">ぎゅ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">にゅ</span><span class=""pitch-h"">う</span></rt></ruby>",
果物を食べる?,Do you want fruit?,果物,果物【くだもの】を食【た】べる?,Daily-Routine,polite,fruit,"<ruby class=""vocab"">果物<rt><span class=""pitch-l"">く</span><span class=""pitch-h"">だ</span><span class=""pitch-l"">も</span><span class=""pitch-l"">の</span></rt></ruby>",
アイスは夕飯の後でね。,Ice cream after dinner.,夕飯,アイスは夕飯【ゆうはん】の後【あと】でね。,Daily-Routine,polite,dinner,"<ruby class=""vocab"">夕飯<rt><span class=""pitch-l"">ゆ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">は</span><span class=""pitch-h"">ん</span></rt></ruby>",
喉が渇いた。,I'm thirsty.,喉,喉【のど】が渇【かわ】いた。,Daily-Routine,polite,thirsty,"<ruby class=""vocab"">喉<rt><span class=""pitch-h"">の</span><span class=""pitch-l"">ど</span></rt></ruby>",
お腹すいた。,I'm hungry.,お腹がすく,お腹【おなか】すいた。,Daily-Routine,polite,get hungry,"<ruby class=""vocab"">お腹がすく<rt>おおなかがすく</rt></ruby>",
疲れた。,I'm tired.,疲れる,疲【つか】れた。,Daily-Routine,polite,get tired,"<ruby class=""vocab"">疲れる<rt><span class=""pitch-l"">つ</span><span class=""pitch-h"">か</span><span class=""pitch-h"">れ</span><span class=""pitch-l"">る</span></rt></ruby>",
眠い。,I'm sleepy.,眠い,眠【ねむ】い。,Daily-Routine,polite,sleepy,"<ruby class=""vocab"">眠い<rt><span class=""pitch-l"">ね</span><span class=""pitch-h"">む</span><span class=""pitch-h"">い</span></rt></ruby>",
暑いね。,It's hot isn't it.,暑い,暑【あつ】いね。,Daily-Routine,polite,hot,"<ruby class=""vocab"">暑い<rt><span class=""pitch-l"">あ</span><span class=""pitch-h"">つ</span><span class=""pitch-l"">い</span></rt></ruby>",
寒いね。,It's cold isn't it.,寒い,寒【さむ】いね。,Daily-Routine,polite,cold,"<ruby class=""vocab"">寒い<rt><span class=""pitch-l"">さ</span><span class=""pitch-h"">む</span><span class=""pitch-l"">い</span></rt></ruby>",
エアコンをつけて。,Turn on the air conditioner.,エアコン,エアコンをつけて。,Daily-Routine,polite,air conditioner,"<ruby class=""vocab"">エアコン<rt><span class=""pitch-l"">え</span><span class=""pitch-h"">あ</span><span class=""pitch-h"">こ</span><span class=""pitch-h"">ん</span></rt></ruby>",
窓を開けて。,Open the window.,窓,窓【まど】を開【あ】けて。,Daily-Routine,polite,window,"<ruby class=""vocab"">窓<rt><span class=""pitch-h"">ま</span><span class=""pitch-l"">ど</span></rt></ruby>",
窓を閉めて。,Close the window.,窓,窓【まど】を閉【し】めて。,Daily-Routine,polite,window,"<ruby class=""vocab"">窓<rt><span class=""pitch-h"">ま</span><span class=""pitch-l"">ど</span></rt></ruby>",
カーテンを開けて。,Open the curtains.,カーテン,カーテンを開【あ】けて。,Daily-Routine,polite,curtain,"<ruby class=""vocab"">カーテン<rt><span class=""pitch-h"">か</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">て</span><span class=""pitch-l"">ん</span></rt></ruby>",
カーテンを閉めて。,Close the curtains.,カーテン,カーテンを閉【し】めて。,Daily-Routine,polite,curtain,"<ruby class=""vocab"">カーテン<rt><span class=""pitch-h"">か</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">て</span><span class=""pitch-l"">ん</span></rt></ruby>",
ドアを閉めてね。,Close the door.,ドア,ドアを閉【し】めてね。,Daily-Routine,polite,door,"<ruby class=""vocab"">ドア<rt><span class=""pitch-h"">ど</span><span class=""pitch-l"">あ</span></rt></ruby>",
鍵をかけた?,Did you lock it?,鍵,鍵【かぎ】をかけた?,Daily-Routine,polite,key,"<ruby class=""vocab"">鍵<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">ぎ</span></rt></ruby>",
電話が鳴ってる。,The phone is ringing.,鳴る,電話【でんわ】が鳴【な】ってる。,Daily-Routine,polite,ring,"<ruby class=""vocab"">鳴る<rt><span class=""pitch-l"">な</span><span class=""pitch-h"">る</span></rt></ruby>",
誰か来たみたい。,Someone's here.,誰か来た,誰【だれ】か来【き】たみたい。,Daily-Routine,polite,someone came,"<ruby class=""vocab"">誰か来た<rt>だれかきた</rt></ruby>",
玄関に出てくる。,I'll get the door.,玄関,玄関【げんかん】に出【で】てくる。,Daily-Routine,polite,entrance,"<ruby class=""vocab"">玄関<rt><span class=""pitch-h"">げ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">か</span><span class=""pitch-l"">ん</span></rt></ruby>",
ちょっと待ってて。,Wait a moment.,待つ,ちょっと待【ま】ってて。,Daily-Routine,polite,wait,"<ruby class=""vocab"">待つ<rt><span class=""pitch-h"">ま</span><span class=""pitch-l"">つ</span></rt></ruby>",
すぐ戻るから。,I'll be right back.,戻る,すぐ戻【もど】るから。,Daily-Routine,polite,return,"<ruby class=""vocab"">戻る<rt><span class=""pitch-l"">も</span><span class=""pitch-h"">ど</span><span class=""pitch-l"">る</span></rt></ruby>",
何してるの?,What are you doing?,何,何【なに】してるの?,Daily-Routine,polite,what,"<ruby class=""vocab"">何<rt><span class=""pitch-h"">な</span><span class=""pitch-l"">に</span></rt></ruby>",
どこに行くの?,Where are you going?,行く,どこに行【い】くの?,Daily-Routine,polite,go,"<ruby class=""vocab"">行く<rt><span class=""pitch-l"">い</span><span class=""pitch-h"">く</span></rt></ruby>",
いつ帰ってくる?,When will you be back?,帰る,いつ帰【かえ】ってくる?,Daily-Routine,polite,return home,"<ruby class=""vocab"">帰る<rt><span class=""pitch-h"">か</span><span class=""pitch-l"">え</span><span class=""pitch-l"">る</span></rt></ruby>",
ご飯の支度ができたよ。,Dinner is ready.,支度,ご飯【ごはん】の支度【したく】ができたよ。,Daily-Routine,polite,preparation,"<ruby class=""vocab"">支度<rt><span class=""pitch-l"">し</span><span class=""pitch-h"">た</span><span class=""pitch-h"">く</span></rt></ruby>",
食べ終わったら片付けて。,Clean up when you're done eating.,片付ける,食【た】べ終【お】わったら片付【かたづ】けて。,Daily-Routine,polite,clean up,"<ruby class=""vocab"">片付ける<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">た</span><span class=""pitch-h"">づ</span><span class=""pitch-h"">け</span><span class=""pitch-l"">る</span></rt></ruby>",
お皿を下げて。,Clear the dishes.,お皿を下げる,お皿【さら】を下【さ】げて。,Daily-Routine,polite,clear dishes,"<ruby class=""vocab"">お皿を下げる<rt>おさらをさげる</rt></ruby>",
